date,Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,passive income
2023-03-31,58.333333333333336,12.0,46.0,17.0,11.333333333333334,57.333333333333336,34.0,15.333333333333334,74.0,13.333333333333334,9.0,12.333333333333334,56.666666666666664,7.333333333333333
2023-06-30,61.333333333333336,12.0,42.666666666666664,16.0,11.0,53.0,33.0,15.0,77.66666666666667,12.0,9.0,14.666666666666666,62.666666666666664,7.666666666666667
2023-09-30,60.333333333333336,11.0,41.333333333333336,16.666666666666668,10.333333333333334,53.666666666666664,30.666666666666668,12.666666666666666,78.66666666666667,11.0,9.333333333333334,12.666666666666666,62.333333333333336,6.333333333333333
2023-12-31,60.333333333333336,10.666666666666666,41.333333333333336,15.0,8.666666666666666,45.333333333333336,26.333333333333332,11.666666666666666,77.66666666666667,8.333333333333334,7.666666666666667,12.333333333333334,56.0,5.333333333333333
2024-03-31,61.666666666666664,11.333333333333334,46.0,15.666666666666666,8.333333333333334,48.666666666666664,30.0,12.333333333333334,77.0,10.333333333333334,9.0,11.0,54.0,6.333333333333333
2024-06-30,62.666666666666664,10.333333333333334,42.333333333333336,14.666666666666666,8.666666666666666,44.333333333333336,29.666666666666668,11.666666666666666,79.66666666666667,10.0,8.666666666666666,11.0,60.333333333333336,5.333333333333333
2024-09-30,62.0,10.666666666666666,41.0,13.666666666666666,8.0,46.0,28.0,10.666666666666666,81.66666666666667,8.333333333333334,9.0,12.666666666666666,59.333333333333336,4.666666666666667
2024-12-31,59.0,10.0,40.666666666666664,14.0,7.333333333333333,39.333333333333336,23.0,9.666666666666666,75.0,7.0,7.0,14.0,52.666666666666664,4.0
2025-03-31,60.333333333333336,10.666666666666666,45.666666666666664,14.666666666666666,6.666666666666667,44.0,27.333333333333332,10.666666666666666,77.66666666666667,7.666666666666667,8.666666666666666,10.333333333333334,49.333333333333336,5.0
2025-06-30,63.666666666666664,10.666666666666666,45.0,13.333333333333334,6.0,44.0,27.666666666666668,10.666666666666666,81.33333333333333,8.0,7.666666666666667,9.666666666666666,57.333333333333336,5.0
2025-09-30,68.66666666666667,11.666666666666666,49.0,14.0,7.0,48.0,30.333333333333332,10.0,95.0,7.666666666666667,7.333333333333333,10.666666666666666,60.333333333333336,6.666666666666667
2025-12-31,66.66666666666667,12.0,53.0,13.666666666666666,7.0,40.0,26.0,10.666666666666666,93.33333333333333,6.333333333333333,7.0,11.0,55.333333333333336,5.333333333333333
