filed_date,fiscal_year,form,fiscal_period,company,ticker,category,Assets,CommonStockSharesOutstanding,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,StockholdersEquity,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,ContractWithCustomerLiabilityChangeInTimeframePerformanceObligationSatisfiedRevenueRecognized,OperatingLeasesIncomeStatementMinimumLeaseRevenue,Revenues
2025-02-14,2024,10-K,FY,Uber,UBER,gig,38699000000.0,2071144000.0,-181000000.0,26017000000.0,-9141000000.0,-1832000000.0,,,11249000000.0,,,,31877000000.0
2025-05-07,2025,10-Q,Q1,Uber,UBER,gig,51244000000.0,2107953000.0,29000000.0,28768000000.0,-654000000.0,172000000.0,,,21558000000.0,,,,10131000000.0
2025-08-06,2025,10-Q,Q2,Uber,UBER,gig,51244000000.0,2107953000.0,86000000.0,28768000000.0,361000000.0,968000000.0,,,21558000000.0,,,,20831000000.0
2025-11-04,2025,10-Q,Q3,Uber,UBER,gig,51244000000.0,2107953000.0,244000000.0,28768000000.0,2973000000.0,2029000000.0,,,21558000000.0,,,,32019000000.0
2026-02-13,2025,10-K,FY,Uber,UBER,gig,51244000000.0,2107953000.0,213000000.0,28768000000.0,1887000000.0,1110000000.0,,,21558000000.0,0.0,,,37281000000.0
2019-05-14,2019,10-Q,Q1,Lyft,LYFT,gig,3760043000.0,22438472.0,406000.0,1479277000.0,-234339000.0,-245379000.0,397188000.0,,-1979438000.0,,,,
2019-08-13,2019,10-Q,Q2,Lyft,LYFT,gig,3760043000.0,22438472.0,637000.0,1479277000.0,-234339000.0,-439013000.0,902100000.0,,-1979438000.0,,,,
2019-11-04,2019,10-Q,Q3,Lyft,LYFT,gig,3760043000.0,22438472.0,1147000.0,1479277000.0,-234339000.0,-707688000.0,1487051000.0,,-1979438000.0,,,,
2020-02-28,2019,10-K,FY,Lyft,LYFT,gig,3760043000.0,22438472.0,556000.0,1479277000.0,-688301000.0,-708272000.0,1059881000.0,,-1303730000.0,,,,
2020-05-08,2020,10-Q,Q1,Lyft,LYFT,gig,5691383000.0,,1383000.0,2837299000.0,-1138473000.0,-1156890000.0,755894000.0,,-2871281000.0,,,,776027000.0
