ticker,date,filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,company,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares
SHOP,2015-12-31,2016-02-17,2015,20-F,FY,36739000.0,36739000.0,36739000.0,36739000.0,,36739000.0,36739000.0,36739000.0,36739000.0,SHOP,36739000.0,1,1,1,0,1,1,1
SHOP,2024-12-31,2025-02-11,2024,10-K,FY,5600000000.0,5600000000.0,5600000000.0,5600000000.0,,5600000000.0,5600000000.0,5600000000.0,5600000000.0,SHOP,5600000000.0,1,1,1,0,1,1,1
SHOP,2025-12-31,2026-02-11,2025,10-K,FY,7060000000.0,7060000000.0,7060000000.0,7060000000.0,,7060000000.0,7060000000.0,7060000000.0,7060000000.0,SHOP,7060000000.0,1,1,1,0,1,1,1
TUP,2010-12-31,2011-02-22,2010,10-K,FY,1397700000.0,,1397700000.0,1397700000.0,1397700000.0,1397700000.0,,1397700000.0,1397700000.0,TUP,1397700000.0,1,1,0,1,1,0,1
TUP,2011-12-31,2012-02-28,2011,10-K,FY,1409000000.0,,1409000000.0,1409000000.0,1409000000.0,1409000000.0,,1409000000.0,1409000000.0,TUP,1409000000.0,1,1,0,1,1,0,1
TUP,2012-12-31,2013-02-26,2012,10-K,FY,1534200000.0,,1534200000.0,1534200000.0,1534200000.0,1534200000.0,,1534200000.0,1534200000.0,TUP,1534200000.0,1,1,0,1,1,0,1
TUP,2013-12-31,2014-02-25,2013,10-K,FY,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,TUP,0.0,1,1,0,1,1,0,1
TUP,2014-12-31,2015-02-24,2014,10-K,FY,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,TUP,0.0,1,1,0,1,1,0,1
TUP,2015-12-31,2016-03-04,2015,10-K,FY,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,TUP,0.0,1,1,0,1,1,0,1
TUP,2016-12-31,2017-02-28,2016,10-K,FY,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,TUP,0.0,1,1,0,1,1,0,1
TUP,2017-12-31,2018-02-27,2017,10-K,FY,1539400000.0,,1539400000.0,1539400000.0,1539400000.0,1539400000.0,,1539400000.0,1539400000.0,TUP,1539400000.0,1,1,0,1,1,0,1
TUP,2018-12-31,2019-02-26,2018,10-K,FY,1498400000.0,,1498400000.0,1498400000.0,1498400000.0,1498400000.0,,1498400000.0,1498400000.0,TUP,1498400000.0,1,1,0,1,1,0,1
TUP,2019-12-31,2020-03-12,2019,10-K,FY,1511500000.0,,1511500000.0,1511500000.0,1511500000.0,1511500000.0,,1511500000.0,1511500000.0,TUP,1511500000.0,1,1,0,1,1,0,1
TUP,2020-12-31,2021-03-10,2020,10-K,FY,1377500000.0,,1377500000.0,1377500000.0,1377500000.0,1377500000.0,,1377500000.0,1377500000.0,TUP,1377500000.0,1,1,0,1,1,0,1
TUP,2021-12-31,2022-02-23,2021,10-K,FY,1069800000.0,,1069800000.0,1069800000.0,1069800000.0,1069800000.0,,1069800000.0,1069800000.0,TUP,1069800000.0,1,1,0,1,1,0,1
TUP,2022-12-31,2023-10-13,2022,10-K,FY,1057100000.0,,1057100000.0,1057100000.0,1057100000.0,1057100000.0,,1057100000.0,1057100000.0,TUP,1057100000.0,1,1,0,1,1,0,1
UBER,2019-12-31,2020-03-02,2019,10-K,FY,7932000000.0,7932000000.0,,7932000000.0,7932000000.0,7932000000.0,,7932000000.0,7932000000.0,UBER,7932000000.0,0,1,0,1,1,1,1
UBER,2020-12-31,2021-03-01,2020,10-K,FY,10433000000.0,10433000000.0,,10433000000.0,10433000000.0,10433000000.0,,10433000000.0,10433000000.0,UBER,10433000000.0,0,1,0,1,1,1,1
UBER,2021-12-31,2022-02-24,2021,10-K,FY,13000000000.0,13000000000.0,,13000000000.0,13000000000.0,13000000000.0,,13000000000.0,13000000000.0,UBER,13000000000.0,0,1,0,1,1,1,1
UBER,2022-12-31,2023-02-21,2022,10-K,FY,11139000000.0,11139000000.0,,11139000000.0,11139000000.0,11139000000.0,,11139000000.0,11139000000.0,UBER,11139000000.0,0,1,0,1,1,1,1
UBER,2023-12-31,2024-02-15,2023,10-K,FY,17455000000.0,17455000000.0,,17455000000.0,17455000000.0,17455000000.0,,17455000000.0,17455000000.0,UBER,17455000000.0,0,1,0,1,1,1,1
UBER,2024-12-31,2025-02-14,2024,10-K,FY,31877000000.0,31877000000.0,,31877000000.0,31877000000.0,31877000000.0,,31877000000.0,31877000000.0,UBER,31877000000.0,0,1,0,1,1,1,1
UBER,2025-12-31,2026-02-13,2025,10-K,FY,37281000000.0,37281000000.0,,37281000000.0,37281000000.0,37281000000.0,,37281000000.0,37281000000.0,UBER,37281000000.0,0,1,0,1,1,1,1
UDMY,2021-12-31,2022-03-25,2021,10-K,FY,132817000.0,132817000.0,132817000.0,132817000.0,132817000.0,132817000.0,132817000.0,132817000.0,132817000.0,UDMY,,1,1,1,1,0,1,1
UDMY,2022-12-31,2023-02-27,2022,10-K,FY,220646000.0,220646000.0,220646000.0,220646000.0,220646000.0,220646000.0,220646000.0,220646000.0,220646000.0,UDMY,,1,1,1,1,0,1,1
UDMY,2023-12-31,2024-02-26,2023,10-K,FY,279633000.0,279633000.0,279633000.0,279633000.0,279633000.0,279633000.0,279633000.0,279633000.0,279633000.0,UDMY,,1,1,1,1,0,1,1
UDMY,2024-12-31,2025-02-19,2024,10-K,FY,353777000.0,353777000.0,353777000.0,353777000.0,353777000.0,353777000.0,353777000.0,353777000.0,353777000.0,UDMY,,1,1,1,1,0,1,1
UDMY,2025-12-31,2026-02-19,2025,10-K,FY,419339000.0,419339000.0,419339000.0,419339000.0,419339000.0,419339000.0,419339000.0,419339000.0,419339000.0,UDMY,,1,1,1,1,0,1,1
UPWK,2018-12-31,2019-03-07,2018,10-K,FY,101867000.0,101867000.0,101867000.0,101867000.0,101867000.0,101867000.0,101867000.0,101867000.0,101867000.0,UPWK,101867000.0,1,1,1,1,1,1,1
UPWK,2019-12-31,2020-03-02,2019,10-K,FY,137109000.0,137109000.0,137109000.0,137109000.0,137109000.0,137109000.0,137109000.0,137109000.0,137109000.0,UPWK,137109000.0,1,1,1,1,1,1,1
UPWK,2020-12-31,2021-02-24,2020,10-K,FY,171896000.0,171896000.0,171896000.0,171896000.0,171896000.0,171896000.0,171896000.0,171896000.0,171896000.0,UPWK,171896000.0,1,1,1,1,1,1,1
UPWK,2021-12-31,2022-02-15,2021,10-K,FY,212418000.0,212418000.0,212418000.0,212418000.0,212418000.0,212418000.0,212418000.0,212418000.0,212418000.0,UPWK,212418000.0,1,1,1,1,1,1,1
UPWK,2022-12-31,2023-02-16,2022,10-K,FY,269361000.0,269361000.0,269361000.0,269361000.0,269361000.0,269361000.0,269361000.0,269361000.0,269361000.0,UPWK,269361000.0,1,1,1,1,1,1,1
UPWK,2023-12-31,2024-02-15,2023,10-K,FY,367289000.0,367289000.0,367289000.0,367289000.0,367289000.0,367289000.0,367289000.0,367289000.0,367289000.0,UPWK,367289000.0,1,1,1,1,1,1,1
UPWK,2024-12-31,2025-02-13,2024,10-K,FY,457916000.0,457916000.0,457916000.0,457916000.0,457916000.0,457916000.0,457916000.0,457916000.0,457916000.0,UPWK,457916000.0,1,1,1,1,1,1,1
UPWK,2025-12-31,2026-02-13,2025,10-K,FY,518686000.0,518686000.0,518686000.0,518686000.0,518686000.0,518686000.0,518686000.0,518686000.0,518686000.0,UPWK,518686000.0,1,1,1,1,1,1,1
