filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,WeightedAverageNumberOfSharesOutstandingBasic,ticker,OperatingExpenses
2015-05-05,2015,10-Q,Q1,2515300000.0,,0.51,1134000000.0,46700000.0,,,91230882.0,AOS,
2015-08-10,2015,10-Q,Q2,2515300000.0,,1.14,1134000000.0,104000000.0,,,90868025.0,AOS,
2015-11-09,2015,10-Q,Q3,2515300000.0,,1.69,1134000000.0,154600000.0,,,90559459.0,AOS,
2016-02-17,2015,10-K,FY,2391500000.0,,1.83,1134000000.0,169700000.0,,,92118153.0,AOS,
2016-05-09,2016,10-Q,Q1,2629200000.0,,0.65,1186900000.0,58400000.0,,,89436496.0,AOS,
2016-08-08,2016,10-Q,Q2,2629200000.0,,1.44,1186900000.0,129500000.0,,,89286984.0,AOS,
2016-11-08,2016,10-Q,Q3,2629200000.0,,1.13,1186900000.0,203100000.0,,,178177130.0,AOS,
2017-02-17,2016,10-K,FY,2498100000.0,,1.14,1186900000.0,207800000.0,,,180587008.0,AOS,
2017-05-08,2017,10-Q,Q1,2891000000.0,,0.41,1375700000.0,73500000.0,,,175694006.0,AOS,
2017-08-08,2017,10-Q,Q2,2891000000.0,,0.91,1375700000.0,160600000.0,,,175327862.0,AOS,
2017-11-06,2017,10-Q,Q3,2891000000.0,,1.38,1375700000.0,243800000.0,,,175019605.0,AOS,
2018-02-16,2017,10-K,FY,2629200000.0,,1.58,1375700000.0,282900000.0,,,177622280.0,AOS,
2018-05-07,2018,10-Q,Q1,3197400000.0,,0.5,1552500000.0,87700000.0,,,173380076.0,AOS,
2018-08-06,2018,10-Q,Q2,3197400000.0,,1.03,1552500000.0,180100000.0,,,173185177.0,AOS,
2018-11-08,2018,10-Q,Q3,3197400000.0,,1.57,1552500000.0,273800000.0,2228100000.0,,172936255.0,AOS,
2019-02-15,2018,10-K,FY,2891000000.0,,1.85,1552500000.0,326500000.0,2685900000.0,,174712683.0,AOS,
2019-05-09,2019,10-Q,Q1,3071500000.0,,0.57,1354500000.0,98800000.0,788000000.0,,171532008.0,AOS,
2019-08-08,2019,10-Q,Q2,3071500000.0,,1.23,1354500000.0,213300000.0,1621300000.0,,171296492.0,AOS,
2019-11-06,2019,10-Q,Q3,3071500000.0,,1.84,1354500000.0,317900000.0,2375400000.0,,171030747.0,AOS,
2020-02-24,2019,10-K,FY,3197400000.0,,1.7,1354500000.0,296500000.0,2996700000.0,,172666056.0,AOS,
2020-05-05,2020,10-Q,Q1,3058000000.0,,0.53,1391200000.0,89300000.0,748200000.0,,167803794.0,AOS,
2020-08-05,2020,10-Q,Q2,3058000000.0,,1.14,1391200000.0,191400000.0,1513600000.0,,167311995.0,AOS,
2020-11-06,2020,10-Q,Q3,3058000000.0,,1.66,1391200000.0,278700000.0,2241800000.0,,166296444.0,AOS,
2021-02-12,2020,10-K,FY,3071500000.0,,2.58,1391200000.0,444200000.0,3187900000.0,,170589345.0,AOS,
2021-04-30,2021,10-Q,Q1,3160700000.0,,0.32,1312400000.0,51700000.0,636900000.0,,161871788.0,AOS,
2021-07-30,2021,10-Q,Q2,3160700000.0,,0.74,1312400000.0,119500000.0,1300800000.0,,161539991.0,AOS,
2021-10-29,2021,10-Q,Q3,3160700000.0,,1.38,1312400000.0,224900000.0,2060800000.0,,161496697.0,AOS,
2022-02-11,2021,10-K,FY,3058000000.0,,2.22,1312400000.0,370000000.0,2992700000.0,,165450441.0,AOS,
2022-05-02,2022,10-Q,Q1,3474400000.0,,0.6,1642200000.0,97700000.0,769000000.0,,161526733.0,AOS,
2022-07-29,2022,10-Q,Q2,3474400000.0,,1.33,1642200000.0,215900000.0,1628800000.0,,160880724.0,AOS,
2022-10-28,2022,10-Q,Q3,3474400000.0,,2.15,1642200000.0,347500000.0,2543400000.0,,160310548.0,AOS,
2023-02-14,2022,10-K,FY,3160700000.0,,2.12,1642200000.0,344900000.0,2895300000.0,,161530589.0,AOS,
2023-04-28,2023,10-Q,Q1,3332300000.0,,0.76,1584600000.0,119800000.0,977700000.0,,157018566.0,AOS,
2023-07-28,2023,10-Q,Q2,3332300000.0,,1.56,1584600000.0,246000000.0,1943600000.0,,156351739.0,AOS,
2023-10-27,2023,10-Q,Q3,3332300000.0,,2.27,1584600000.0,355800000.0,2817800000.0,,155625624.0,AOS,
2024-02-13,2023,10-K,FY,3474400000.0,,3.02,1584600000.0,487100000.0,3538900000.0,,159906834.0,AOS,
2024-04-26,2024,10-Q,Q1,3213900000.0,,0.84,1369500000.0,126900000.0,966400000.0,,150897302.0,AOS,
2024-07-24,2024,10-Q,Q2,3213900000.0,,1.87,1369500000.0,283900000.0,1927200000.0,,150684986.0,AOS,
2024-10-23,2024,10-Q,Q3,3213900000.0,,2.77,1369500000.0,419300000.0,2864700000.0,,150488897.0,AOS,
2025-04-29,2025,10-Q,Q1,3240000000.0,,1.0,1356500000.0,147600000.0,978800000.0,,147178955.0,AOS,
