filed_date,fiscal_year,form,fiscal_period,Assets,CommonStockSharesOutstanding,EarningsPerShareDiluted,Liabilities,NetIncomeLoss,OperatingExpenses,RevenueFromContractWithCustomerExcludingAssessedTax,WeightedAverageNumberOfSharesOutstandingBasic,ticker,Revenues
2024-10-30,2024,10-Q,Q3,10839000000.0,,-1.03,4026000000.0,-161000000.0,,6332000000.0,390794000.0,DASH,
2025-02-14,2024,10-K,FY,10839000000.0,,-3.68,4026000000.0,-1365000000.0,,6583000000.0,371413000.0,DASH,
2025-05-07,2025,10-Q,Q1,12845000000.0,,-0.06,5035000000.0,-23000000.0,,2513000000.0,405482000.0,DASH,
2025-08-06,2025,10-Q,Q2,12845000000.0,,-0.44,5035000000.0,-23000000.0,,5143000000.0,407982000.0,DASH,
2025-11-06,2025,10-Q,Q3,12845000000.0,,-0.04,5035000000.0,-23000000.0,,7849000000.0,409703000.0,DASH,
2026-02-18,2025,10-K,FY,12845000000.0,,-1.42,5035000000.0,-558000000.0,,8635000000.0,392948000.0,DASH,
2023-11-13,2023,10-Q,Q3,3669000000.0,72230000.0,-0.52,911000000.0,-82000000.0,1294000000.0,1794000000.0,71783000.0,CART,
2024-03-05,2023,10-K,FY,3669000000.0,72230000.0,-1.12,911000000.0,-73000000.0,1312000000.0,1834000000.0,65874000.0,CART,
2024-05-10,2024,10-Q,Q1,4727000000.0,279046000.0,0.0,800000000.0,128000000.0,432000000.0,759000000.0,72179000.0,CART,
2024-08-09,2024,10-Q,Q2,4727000000.0,279046000.0,0.27,800000000.0,128000000.0,840000000.0,1475000000.0,72222000.0,CART,
2024-11-13,2024,10-Q,Q3,4727000000.0,279046000.0,-21.92,800000000.0,128000000.0,3858000000.0,2239000000.0,80180000.0,CART,
2025-02-28,2024,10-K,FY,4727000000.0,279046000.0,0.96,800000000.0,428000000.0,1769000000.0,2551000000.0,71853000.0,CART,
2025-05-08,2025,10-Q,Q1,4115000000.0,260964000.0,0.43,836000000.0,130000000.0,470000000.0,820000000.0,274763000.0,CART,
2025-08-08,2025,10-Q,Q2,4115000000.0,260964000.0,0.64,836000000.0,130000000.0,1041000000.0,1643000000.0,270012000.0,CART,
2025-11-10,2025,10-Q,Q3,4115000000.0,260964000.0,1.06,836000000.0,130000000.0,1544000000.0,2495000000.0,266550000.0,CART,
2026-02-26,2025,10-K,FY,4115000000.0,260964000.0,-12.43,836000000.0,-1622000000.0,4420000000.0,3042000000.0,130616000.0,CART,
2015-05-22,2015,10-Q,Q1,249135000.0,44180939.0,,101835000.0,-463000.0,24723000.0,,43703508.0,ETSY,40536000.0
2015-08-06,2015,10-Q,Q2,249135000.0,44180939.0,,101835000.0,-3614000.0,53681000.0,,,ETSY,83045000.0
2015-11-05,2015,10-Q,Q3,249135000.0,44180939.0,,101835000.0,-9885000.0,86252000.0,,,ETSY,130679000.0
2016-03-01,2015,10-K,FY,246203000.0,33082948.0,,98903000.0,-796000.0,76510000.0,,,ETSY,125022000.0
2016-05-05,2016,10-Q,Q1,553061000.0,112563354.0,-0.84,222563000.0,-36586000.0,42676000.0,,43703508.0,ETSY,58543000.0
2016-08-04,2016,10-Q,Q2,553061000.0,112563354.0,,222563000.0,-42940000.0,85923000.0,,,ETSY,119908000.0
