ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,year,close,volume
HLF,2024-12-31,2025-02-19,10-K,FY,HLF,packaged-foods,consumer-defensive,2024,4030800000.0,4030800000.0,4030800000.0,4030800000.0,4030800000.0,4030800000.0,,4030800000.0,4030800000.0,4030800000.0,1,1,0,1,1,1,1,2024,6.690000057220459,1663000.0
HLF,2025-12-31,2026-02-18,10-K,FY,HLF,packaged-foods,consumer-defensive,2025,3871400000.0,3871400000.0,3871400000.0,3871400000.0,3871400000.0,3871400000.0,,3871400000.0,3871400000.0,3871400000.0,1,1,0,1,1,1,1,2025,12.84000015258789,1851500.0
LYFT,2019-12-31,2020-02-28,10-K,FY,LYFT,software-application,technology,2019,-708272000.0,-708272000.0,,-708272000.0,-708272000.0,-708272000.0,,-708272000.0,-708272000.0,-708272000.0,0,1,0,1,1,1,1,2019,43.02000045776367,5499600.0
LYFT,2020-12-31,2021-03-01,10-K,FY,LYFT,software-application,technology,2020,2156616000.0,2156616000.0,,2156616000.0,2156616000.0,2156616000.0,,2156616000.0,2156616000.0,2156616000.0,0,1,0,1,1,1,1,2020,49.130001068115234,3224100.0
LYFT,2021-12-31,2022-02-28,10-K,FY,LYFT,software-application,technology,2021,3615960000.0,3615960000.0,,3615960000.0,3615960000.0,3615960000.0,,3615960000.0,3615960000.0,3615960000.0,0,1,0,1,1,1,1,2021,42.72999954223633,3235300.0
LYFT,2022-12-31,2023-02-27,10-K,FY,LYFT,software-application,technology,2022,2364681000.0,2364681000.0,,2364681000.0,2364681000.0,2364681000.0,,2364681000.0,2364681000.0,2364681000.0,0,1,0,1,1,1,1,2022,11.020000457763672,11302800.0
LYFT,2023-12-31,2024-02-20,10-K,FY,LYFT,software-application,technology,2023,3208323000.0,3208323000.0,,3208323000.0,3208323000.0,3208323000.0,,3208323000.0,3208323000.0,3208323000.0,0,1,0,1,1,1,1,2023,14.989999771118164,14032400.0
LYFT,2024-12-31,2025-02-14,10-K,FY,LYFT,software-application,technology,2024,4095135000.0,4095135000.0,,4095135000.0,4095135000.0,4095135000.0,,4095135000.0,4095135000.0,4095135000.0,0,1,0,1,1,1,1,2024,12.899999618530272,11161400.0
LYFT,2025-12-31,2026-02-11,10-K,FY,LYFT,software-application,technology,2025,4403589000.0,4403589000.0,,4403589000.0,4403589000.0,4403589000.0,,4403589000.0,4403589000.0,4403589000.0,0,1,0,1,1,1,1,2025,19.309999465942383,7255900.0
PRI,2011-12-31,2012-02-28,10-K,FY,PRI,insurance-life,financial-services,2011,2220401000.0,2220401000.0,,2220401000.0,2220401000.0,2220401000.0,,,2220401000.0,2220401000.0,0,0,0,1,1,1,1,2011,19.500078201293945,210300.0
PRI,2012-12-31,2013-02-27,10-K,FY,PRI,insurance-life,financial-services,2012,1361863000.0,1361863000.0,,1361863000.0,1361863000.0,1361863000.0,,,1361863000.0,1361863000.0,0,0,0,1,1,1,1,2012,25.403711318969727,290200.0
PRI,2013-12-31,2014-02-27,10-K,FY,PRI,insurance-life,financial-services,2013,1103093000.0,1103093000.0,,1103093000.0,1103093000.0,1103093000.0,,,1103093000.0,1103093000.0,0,0,0,1,1,1,1,2013,36.76253890991211,180300.0
PRI,2014-12-31,2015-02-26,10-K,FY,PRI,insurance-life,financial-services,2014,1153772000.0,1153772000.0,,1153772000.0,1153772000.0,1153772000.0,,,1153772000.0,1153772000.0,0,0,0,1,1,1,1,2014,46.969722747802734,249300.0
PRI,2015-12-31,2016-02-25,10-K,FY,PRI,insurance-life,financial-services,2015,1228998000.0,1228998000.0,,1228998000.0,1228998000.0,1228998000.0,,,1228998000.0,1228998000.0,0,0,0,1,1,1,1,2015,41.43133544921875,281200.0
PRI,2016-12-31,2017-02-27,10-K,FY,PRI,insurance-life,financial-services,2016,1337096000.0,1337096000.0,,1337096000.0,1337096000.0,1337096000.0,,,1337096000.0,1337096000.0,0,0,0,1,1,1,1,2016,61.46628189086914,185600.0
PRI,2017-12-31,2018-02-26,10-K,FY,PRI,insurance-life,financial-services,2017,1404199000.0,1404199000.0,,1404199000.0,1404199000.0,1404199000.0,,,1404199000.0,1404199000.0,0,0,0,1,1,1,1,2017,91.10659790039062,181100.0
PRI,2018-12-31,2019-02-26,10-K,FY,PRI,insurance-life,financial-services,2018,1519084000.0,1519084000.0,,1519084000.0,1519084000.0,1519084000.0,,,1519084000.0,1519084000.0,0,0,0,1,1,1,1,2018,88.48662567138672,221500.0
PRI,2019-12-31,2020-02-28,10-K,FY,PRI,insurance-life,financial-services,2019,1689102000.0,1689102000.0,,1689102000.0,1689102000.0,1689102000.0,,,1689102000.0,1689102000.0,0,0,0,1,1,1,1,2019,119.55378723144533,146100.0
PRI,2020-12-31,2021-03-01,10-K,FY,PRI,insurance-life,financial-services,2020,1899843000.0,1899843000.0,,1899843000.0,1899843000.0,1899843000.0,,,1899843000.0,1899843000.0,0,0,0,1,1,1,1,2020,124.22382354736328,118300.0
PRI,2021-12-31,2022-03-01,10-K,FY,PRI,insurance-life,financial-services,2021,2052504000.0,2052504000.0,,2052504000.0,2052504000.0,2052504000.0,,,2052504000.0,2052504000.0,0,0,0,1,1,1,1,2021,143.92208862304688,63000.0
PRI,2022-12-31,2023-02-28,10-K,FY,PRI,insurance-life,financial-services,2022,2217541000.0,2217541000.0,,2217541000.0,2217541000.0,2217541000.0,,,2217541000.0,2217541000.0,0,0,0,1,1,1,1,2022,135.3682403564453,78700.0
PRI,2023-12-31,2024-02-28,10-K,FY,PRI,insurance-life,financial-services,2023,2709732000.0,2709732000.0,,2709732000.0,2709732000.0,2709732000.0,,,2709732000.0,2709732000.0,0,0,0,1,1,1,1,2023,199.0907745361328,74900.0
PRI,2024-12-31,2025-02-28,10-K,FY,PRI,insurance-life,financial-services,2024,2657451000.0,2657451000.0,,2657451000.0,2657451000.0,2657451000.0,,,2657451000.0,2657451000.0,0,0,0,1,1,1,1,2024,266.02667236328125,139900.0
PRI,2025-12-31,2026-02-27,10-K,FY,PRI,insurance-life,financial-services,2025,2748507000.0,2748507000.0,,2748507000.0,2748507000.0,2748507000.0,,,2748507000.0,2748507000.0,0,0,0,1,1,1,1,2025,259.3033142089844,187100.0
SHOP,2015-12-31,2016-02-17,20-F,FY,SHOP,software-application,technology,2015,36739000.0,36739000.0,36739000.0,36739000.0,,36739000.0,36739000.0,36739000.0,36739000.0,36739000.0,1,1,1,0,1,1,1,2015,2.5799999237060547,2349000.0
