ticker,date,filed_date,form,fiscal_period,company,industrykey,sectorkey,fiscal_year,Assets,CommonStockSharesOutstanding,GrossProfit,IncomeTaxExpenseBenefit,Liabilities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,WeightedAverageNumberOfSharesOutstandingBasic,Revenue,has_gross_profit,has_operating_income,has_operating_expenses,has_liabilities,has_revenue,has_common_stock_outstanding,has_weighted_avg_shares,quarter,year,close,volume
CART,2023-12-31,2024-03-05,10-K,FY,CART,internet-retail,consumer-cyclical,2023,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1226000000.0,1,1,1,1,1,1,1,4,2023,23.46999931335449,1207300.0
CART,2024-03-31,2024-05-10,10-Q,Q1,CART,internet-retail,consumer-cyclical,2024,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,582000000.0,1,1,1,1,1,1,1,1,2024,37.290000915527344,2090100.0
CART,2024-06-30,2024-08-09,10-Q,Q2,CART,internet-retail,consumer-cyclical,2024,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1109000000.0,1,1,1,1,1,1,1,2,2024,32.13999938964844,14138400.0
CART,2024-09-30,2024-11-13,10-Q,Q3,CART,internet-retail,consumer-cyclical,2024,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1670000000.0,1,1,1,1,1,1,1,3,2024,40.7400016784668,2482900.0
CART,2024-12-31,2025-02-28,10-K,FY,CART,internet-retail,consumer-cyclical,2024,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1831000000.0,1,1,1,1,1,1,1,4,2024,41.41999816894531,1749600.0
CART,2025-03-31,2025-05-08,10-Q,Q1,CART,internet-retail,consumer-cyclical,2025,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,614000000.0,1,1,1,1,1,1,1,1,2025,39.88999938964844,2888300.0
CART,2025-06-30,2025-08-08,10-Q,Q2,CART,internet-retail,consumer-cyclical,2025,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,1,1,1,1,1,1,1,2,2025,45.2400016784668,2901500.0
CART,2025-09-30,2025-11-10,10-Q,Q3,CART,internet-retail,consumer-cyclical,2025,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1878000000.0,1,1,1,1,1,1,1,3,2025,36.7599983215332,21518900.0
CART,2025-12-31,2026-02-26,10-K,FY,CART,internet-retail,consumer-cyclical,2025,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,2278000000.0,1,1,1,1,1,1,1,4,2025,44.959999084472656,2330600.0
DASH,2020-12-31,2021-03-05,10-K,FY,DASH,internet-retail,consumer-cyclical,2020,-210000000.0,,,-210000000.0,-210000000.0,-210000000.0,,-210000000.0,-210000000.0,-210000000.0,0,1,0,1,1,0,1,4,2020,142.75,2637300.0
DASH,2021-03-31,2021-05-14,10-Q,Q1,DASH,internet-retail,consumer-cyclical,2021,-123000000.0,,,-123000000.0,-123000000.0,-123000000.0,,-123000000.0,-123000000.0,-123000000.0,0,1,0,1,1,0,1,1,2021,131.1300048828125,2939200.0
DASH,2021-06-30,2021-08-13,10-Q,Q2,DASH,internet-retail,consumer-cyclical,2021,-96000000.0,,,-96000000.0,-96000000.0,-96000000.0,,-96000000.0,-96000000.0,-96000000.0,0,1,0,1,1,0,1,2,2021,178.3300018310547,4880300.0
DASH,2021-09-30,2021-11-10,10-Q,Q3,DASH,internet-retail,consumer-cyclical,2021,-131000000.0,,,-131000000.0,-131000000.0,-131000000.0,,-131000000.0,-131000000.0,-131000000.0,0,1,0,1,1,0,1,3,2021,205.97999572753903,1565500.0
DASH,2021-12-31,2022-03-01,10-K,FY,DASH,internet-retail,consumer-cyclical,2021,-616000000.0,,,-616000000.0,-616000000.0,-616000000.0,,-616000000.0,-616000000.0,-616000000.0,0,1,0,1,1,0,1,4,2021,148.89999389648438,2297900.0
DASH,2022-03-31,2022-05-06,10-Q,Q1,DASH,internet-retail,consumer-cyclical,2022,-99000000.0,,,-99000000.0,-99000000.0,-99000000.0,,-99000000.0,-99000000.0,-99000000.0,0,1,0,1,1,0,1,1,2022,117.19000244140624,3022100.0
DASH,2022-06-30,2022-08-05,10-Q,Q2,DASH,internet-retail,consumer-cyclical,2022,-198000000.0,,,-198000000.0,-198000000.0,-198000000.0,,-198000000.0,-198000000.0,-198000000.0,0,1,0,1,1,0,1,2,2022,64.16999816894531,5383300.0
DASH,2022-09-30,2022-11-04,10-Q,Q3,DASH,internet-retail,consumer-cyclical,2022,-298000000.0,,,-298000000.0,-298000000.0,-298000000.0,,-298000000.0,-298000000.0,-298000000.0,0,1,0,1,1,0,1,3,2022,49.45000076293945,3223200.0
DASH,2022-12-31,2023-02-27,10-K,FY,DASH,internet-retail,consumer-cyclical,2022,-436000000.0,,,-436000000.0,-436000000.0,-436000000.0,,-436000000.0,-436000000.0,-436000000.0,0,1,0,1,1,0,1,4,2022,48.81999969482422,3193300.0
DASH,2023-03-31,2023-05-05,10-Q,Q1,DASH,internet-retail,consumer-cyclical,2023,-173000000.0,,,-173000000.0,-173000000.0,-173000000.0,,-173000000.0,-173000000.0,-173000000.0,0,1,0,1,1,0,1,1,2023,63.560001373291016,4530400.0
DASH,2023-06-30,2023-08-02,10-Q,Q2,DASH,internet-retail,consumer-cyclical,2023,-446000000.0,,,-446000000.0,-446000000.0,-446000000.0,,-446000000.0,-446000000.0,-446000000.0,0,1,0,1,1,0,1,2,2023,76.41999816894531,2645100.0
DASH,2023-09-30,2023-11-01,10-Q,Q3,DASH,internet-retail,consumer-cyclical,2023,-754000000.0,,,-754000000.0,-754000000.0,-754000000.0,,-754000000.0,-754000000.0,-754000000.0,0,1,0,1,1,0,1,3,2023,79.47000122070312,2747100.0
DASH,2023-12-31,2024-02-20,10-K,FY,DASH,internet-retail,consumer-cyclical,2023,-452000000.0,,,-452000000.0,-452000000.0,-452000000.0,,-452000000.0,-452000000.0,-452000000.0,0,1,0,1,1,0,1,4,2023,98.88999938964844,2525700.0
DASH,2024-03-31,2024-05-01,10-Q,Q1,DASH,internet-retail,consumer-cyclical,2024,-171000000.0,,,-171000000.0,-171000000.0,-171000000.0,,-171000000.0,-171000000.0,-171000000.0,0,1,0,1,1,0,1,1,2024,137.72000122070312,3054700.0
DASH,2024-06-30,2024-08-01,10-Q,Q2,DASH,internet-retail,consumer-cyclical,2024,-382000000.0,,,-382000000.0,-382000000.0,-382000000.0,,-382000000.0,-382000000.0,-382000000.0,0,1,0,1,1,0,1,2,2024,108.77999877929688,12262000.0
DASH,2024-09-30,2024-10-30,10-Q,Q3,DASH,internet-retail,consumer-cyclical,2024,-490000000.0,,,-490000000.0,-490000000.0,-490000000.0,,-490000000.0,-490000000.0,-490000000.0,0,1,0,1,1,0,1,3,2024,142.72999572753906,2390200.0
DASH,2024-12-31,2025-02-14,10-K,FY,DASH,internet-retail,consumer-cyclical,2024,-1124000000.0,,,-1124000000.0,-1124000000.0,-1124000000.0,,-1124000000.0,-1124000000.0,-1124000000.0,0,1,0,1,1,0,1,4,2024,167.75,1241300.0
DASH,2025-03-31,2025-05-07,10-Q,Q1,DASH,internet-retail,consumer-cyclical,2025,-61000000.0,,,-61000000.0,-61000000.0,-61000000.0,,-61000000.0,-61000000.0,-61000000.0,0,1,0,1,1,0,1,1,2025,182.7700042724609,6074800.0
DASH,2025-06-30,2025-08-06,10-Q,Q2,DASH,internet-retail,consumer-cyclical,2025,-262000000.0,,,-262000000.0,-262000000.0,-262000000.0,,-262000000.0,-262000000.0,-262000000.0,0,1,0,1,1,0,1,2,2025,246.509994506836,8089900.0
DASH,2025-09-30,2025-11-06,10-Q,Q3,DASH,internet-retail,consumer-cyclical,2025,-155000000.0,,,-155000000.0,-155000000.0,-155000000.0,,-155000000.0,-155000000.0,-155000000.0,0,1,0,1,1,0,1,3,2025,271.989990234375,3245300.0
DASH,2025-12-31,2026-02-18,10-K,FY,DASH,internet-retail,consumer-cyclical,2025,-579000000.0,,,-579000000.0,-579000000.0,-579000000.0,,-579000000.0,-579000000.0,-579000000.0,0,1,0,1,1,0,1,4,2025,228.1300048828125,2546500.0
ETSY,2015-03-31,2015-05-22,10-Q,Q1,ETSY,,,2015,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,40536000.0,1,1,1,1,1,1,1,1,2015,,
ETSY,2015-06-30,2015-08-06,10-Q,Q2,ETSY,internet-retail,consumer-cyclical,2015,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,83045000.0,1,1,1,1,1,1,1,2,2015,14.050000190734863,1508100.0
ETSY,2015-09-30,2015-11-05,10-Q,Q3,ETSY,internet-retail,consumer-cyclical,2015,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,130679000.0,1,1,1,1,1,1,1,3,2015,13.6899995803833,500800.0
ETSY,2015-12-31,2016-03-01,10-K,FY,ETSY,internet-retail,consumer-cyclical,2015,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,125022000.0,1,1,1,1,1,1,1,4,2015,8.260000228881836,1213000.0
ETSY,2016-03-31,2016-05-05,10-Q,Q1,ETSY,internet-retail,consumer-cyclical,2016,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,58543000.0,1,1,1,1,1,1,1,1,2016,8.699999809265137,683400.0
ETSY,2016-06-30,2016-08-04,10-Q,Q2,ETSY,internet-retail,consumer-cyclical,2016,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,119908000.0,1,1,1,1,1,1,1,2,2016,9.59000015258789,746900.0
ETSY,2016-09-30,2016-11-03,10-Q,Q3,ETSY,internet-retail,consumer-cyclical,2016,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,185604000.0,1,1,1,1,1,1,1,3,2016,14.279999732971191,1482300.0
ETSY,2016-12-31,2017-02-28,10-K,FY,ETSY,internet-retail,consumer-cyclical,2016,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,195591000.0,1,1,1,1,1,1,1,4,2016,11.779999732971191,960300.0
ETSY,2017-03-31,2017-05-02,10-Q,Q1,ETSY,internet-retail,consumer-cyclical,2017,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,81847000.0,1,1,1,1,1,1,1,1,2017,10.630000114440918,2320900.0
ETSY,2017-06-30,2017-08-07,10-Q,Q2,ETSY,internet-retail,consumer-cyclical,2017,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,167196000.0,1,1,1,1,1,1,1,2,2017,15.0,856900.0
ETSY,2017-09-30,2017-11-08,10-Q,Q3,ETSY,internet-retail,consumer-cyclical,2017,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,254758000.0,1,1,1,1,1,1,1,3,2017,16.8799991607666,1432000.0
ETSY,2017-12-31,2018-03-01,10-K,FY,ETSY,internet-retail,consumer-cyclical,2017,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,273499000.0,1,1,1,1,1,1,1,4,2017,20.450000762939453,1285900.0
ETSY,2018-03-31,2018-05-09,10-Q,Q1,ETSY,internet-retail,consumer-cyclical,2018,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,96891000.0,1,1,1,1,1,1,1,1,2018,28.059999465942383,3556000.0
ETSY,2018-06-30,2018-08-07,10-Q,Q2,ETSY,internet-retail,consumer-cyclical,2018,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,128200000.0,1,1,1,1,1,1,1,2,2018,42.18999862670898,2440100.0
ETSY,2018-09-30,2018-11-07,10-Q,Q3,ETSY,internet-retail,consumer-cyclical,2018,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,198197000.0,1,1,1,1,1,1,1,3,2018,51.380001068115234,1523100.0
