Date,Week,Month,Quarter,Year,Company,Ticker,industryKey,sectorKey,Close,Volume,Close_lag1,Volume_lag1
2021-03-07,9,3,1,2021,Upwork,UPWK,internet-content-information,communication-services,44.25,4216500.0,53.880001068115234,2751100.0
2021-03-14,10,3,1,2021,Upwork,UPWK,internet-content-information,communication-services,49.31999969482422,1151500.0,44.25,4216500.0
2021-03-21,11,3,1,2021,Upwork,UPWK,internet-content-information,communication-services,45.470001220703125,1825000.0,49.31999969482422,1151500.0
2021-03-28,12,3,1,2021,Upwork,UPWK,internet-content-information,communication-services,44.22999954223633,793200.0,45.470001220703125,1825000.0
2021-04-04,13,4,2,2021,Upwork,UPWK,internet-content-information,communication-services,46.529998779296875,1331000.0,44.22999954223633,793200.0
2021-04-11,14,4,2,2021,Upwork,UPWK,internet-content-information,communication-services,47.959999084472656,881800.0,46.529998779296875,1331000.0
2021-04-18,15,4,2,2021,Upwork,UPWK,internet-content-information,communication-services,49.0099983215332,1261400.0,47.959999084472656,881800.0
2021-04-25,16,4,2,2021,Upwork,UPWK,internet-content-information,communication-services,48.119998931884766,1779000.0,49.0099983215332,1261400.0
2021-05-02,17,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,46.060001373291016,806900.0,48.119998931884766,1779000.0
2021-05-09,18,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,42.040000915527344,1412700.0,46.060001373291016,806900.0
2021-05-16,19,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,39.9900016784668,1174900.0,42.040000915527344,1412700.0
2021-05-23,20,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,40.91999816894531,1036900.0,39.9900016784668,1174900.0
2021-05-30,21,5,2,2021,Upwork,UPWK,internet-content-information,communication-services,47.06999969482422,817300.0,40.91999816894531,1036900.0
2021-06-06,22,6,2,2021,Upwork,UPWK,internet-content-information,communication-services,46.349998474121094,952300.0,47.06999969482422,817300.0
2021-06-13,23,6,2,2021,Upwork,UPWK,internet-content-information,communication-services,50.599998474121094,869100.0,46.349998474121094,952300.0
2021-06-20,24,6,2,2021,Upwork,UPWK,internet-content-information,communication-services,47.75,1867600.0,50.599998474121094,869100.0
2021-06-27,25,6,2,2021,Upwork,UPWK,internet-content-information,communication-services,55.97999954223633,4206300.0,47.75,1867600.0
2021-07-04,26,7,3,2021,Upwork,UPWK,internet-content-information,communication-services,58.45000076293945,878500.0,55.97999954223633,4206300.0
2021-07-11,27,7,3,2021,Upwork,UPWK,internet-content-information,communication-services,57.83000183105469,1152700.0,58.45000076293945,878500.0
2021-07-18,28,7,3,2021,Upwork,UPWK,internet-content-information,communication-services,47.70000076293945,1255300.0,57.83000183105469,1152700.0
2021-07-25,29,7,3,2021,Upwork,UPWK,internet-content-information,communication-services,55.72999954223633,1016500.0,47.70000076293945,1255300.0
2021-08-01,30,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,51.790000915527344,7052000.0,55.72999954223633,1016500.0
2021-08-08,31,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,44.869998931884766,4457500.0,51.790000915527344,7052000.0
2021-08-15,32,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,42.56999969482422,865600.0,44.869998931884766,4457500.0
2021-08-22,33,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,41.81999969482422,1334700.0,42.56999969482422,865600.0
2021-08-29,34,8,3,2021,Upwork,UPWK,internet-content-information,communication-services,44.2400016784668,1184700.0,41.81999969482422,1334700.0
2021-09-05,35,9,3,2021,Upwork,UPWK,internet-content-information,communication-services,44.75,929000.0,44.2400016784668,1184700.0
2021-09-12,36,9,3,2021,Upwork,UPWK,internet-content-information,communication-services,45.16999816894531,1311100.0,44.75,929000.0
2021-09-19,37,9,3,2021,Upwork,UPWK,internet-content-information,communication-services,49.70000076293945,3191100.0,45.16999816894531,1311100.0
2021-09-26,38,9,3,2021,Upwork,UPWK,internet-content-information,communication-services,50.52000045776367,774700.0,49.70000076293945,3191100.0
2021-10-03,39,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,48.029998779296875,1703100.0,50.52000045776367,774700.0
2021-10-10,40,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,54.099998474121094,1700900.0,48.029998779296875,1703100.0
2021-10-17,41,10,4,2021,Upwork,UPWK,internet-content-information,communication-services,59.209999084472656,2086700.0,54.099998474121094,1700900.0
