Date,Company,Ticker,industryKey,sectorKey,Close,Volume
2019-11-15,Upwork,UPWK,internet-content-information,communication-services,11.850000381469727,1063500.0
2019-11-18,Upwork,UPWK,internet-content-information,communication-services,11.970000267028809,782900.0
2019-11-19,Upwork,UPWK,internet-content-information,communication-services,11.729999542236328,725100.0
2019-11-20,Upwork,UPWK,internet-content-information,communication-services,11.770000457763672,524900.0
2019-11-21,Upwork,UPWK,internet-content-information,communication-services,11.550000190734863,1081600.0
2019-11-22,Upwork,UPWK,internet-content-information,communication-services,11.239999771118164,1357600.0
2019-11-25,Upwork,UPWK,internet-content-information,communication-services,11.670000076293945,1376600.0
2019-11-26,Upwork,UPWK,internet-content-information,communication-services,11.489999771118164,597200.0
2019-11-27,Upwork,UPWK,internet-content-information,communication-services,11.529999732971191,419600.0
2019-11-29,Upwork,UPWK,internet-content-information,communication-services,11.649999618530273,414500.0
2019-12-02,Upwork,UPWK,internet-content-information,communication-services,11.170000076293945,669000.0
2019-12-03,Upwork,UPWK,internet-content-information,communication-services,11.270000457763672,958500.0
2019-12-04,Upwork,UPWK,internet-content-information,communication-services,11.510000228881836,832300.0
2019-12-05,Upwork,UPWK,internet-content-information,communication-services,11.449999809265137,678000.0
2019-12-06,Upwork,UPWK,internet-content-information,communication-services,11.319999694824219,703100.0
2019-12-09,Upwork,UPWK,internet-content-information,communication-services,11.149999618530273,579100.0
2019-12-10,Upwork,UPWK,internet-content-information,communication-services,10.65999984741211,2965900.0
2019-12-11,Upwork,UPWK,internet-content-information,communication-services,10.539999961853027,1341900.0
2019-12-12,Upwork,UPWK,internet-content-information,communication-services,10.40999984741211,2046100.0
2019-12-13,Upwork,UPWK,internet-content-information,communication-services,10.420000076293945,1607900.0
2019-12-16,Upwork,UPWK,internet-content-information,communication-services,10.520000457763672,1898200.0
2019-12-17,Upwork,UPWK,internet-content-information,communication-services,10.630000114440918,1098600.0
2019-12-18,Upwork,UPWK,internet-content-information,communication-services,10.739999771118164,1935000.0
2019-12-19,Upwork,UPWK,internet-content-information,communication-services,10.680000305175781,1486800.0
2019-12-20,Upwork,UPWK,internet-content-information,communication-services,10.600000381469727,1071900.0
2019-12-23,Upwork,UPWK,internet-content-information,communication-services,10.4399995803833,1256100.0
2019-12-24,Upwork,UPWK,internet-content-information,communication-services,10.5600004196167,523900.0
2019-12-26,Upwork,UPWK,internet-content-information,communication-services,10.40999984741211,3064300.0
2019-12-27,Upwork,UPWK,internet-content-information,communication-services,10.420000076293945,860200.0
2019-12-30,Upwork,UPWK,internet-content-information,communication-services,10.300000190734863,919300.0
2019-12-31,Upwork,UPWK,internet-content-information,communication-services,10.670000076293945,1182600.0
2020-01-02,Upwork,UPWK,internet-content-information,communication-services,10.520000457763672,1234500.0
2020-01-03,Upwork,UPWK,internet-content-information,communication-services,10.09000015258789,1405300.0
2020-01-06,Upwork,UPWK,internet-content-information,communication-services,9.949999809265137,1770300.0
2020-01-07,Upwork,UPWK,internet-content-information,communication-services,9.789999961853027,1443800.0
