Uber,Lyft,DoorDash,Instacart,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Nu skin,USANA,Etsy,Shopify,Udemy,year,month,date
8.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,2.0,1.0,1.0,60.57142857142857,1.1428571428571428,0.0,2013,8,2013-08-31
7.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,49.0,1.0,0.0,2013,9,2013-09-30
9.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,2.0,1.0,1.0,52.875,1.125,0.0,2013,10,2013-10-31
9.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,1.0,1.0,56.0,1.0,0.0,2013,11,2013-11-30
12.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,1.0,1.0,1.0,65.45454545454545,1.0909090909090908,0.0,2013,12,2013-12-31
12.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,52.0,1.0,1.0,2014,1,2014-01-31
12.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,50.0,1.0,1.0,2014,2,2014-02-28
14.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,2.0,1.0,1.0,57.07692307692307,2.1538461538461537,1.0769230769230769,2014,3,2014-03-31
16.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,2.0,1.0,1.0,53.333333333333336,2.1333333333333333,1.0666666666666667,2014,4,2014-04-30
19.0,4.0,0.0,1.0,1.0,0.0,0.0,6.0,8.0,2.0,1.0,1.0,48.0,2.0,1.0,2014,5,2014-05-31
29.0,5.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,2.0,1.0,1.0,54.892857142857146,2.0714285714285716,1.0357142857142858,2014,6,2014-06-30
28.0,6.0,0.0,1.0,2.0,0.0,0.0,7.0,8.0,2.0,1.0,1.0,52.888888888888886,2.074074074074074,1.037037037037037,2014,7,2014-07-31
