Uber,Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date
54.0,12.0,41.666666666666664,16.333333333333332,11.666666666666666,4.0,2.3333333333333335,1.0,6.333333333333333,2.3333333333333335,2.0,3.0,13.333333333333334,86.95184555303604,15.284769463340893,4.075711766187957,2022,4,2022-10-01
57.333333333333336,11.666666666666666,46.666666666666664,17.0,11.0,5.0,3.0,1.3333333333333333,6.333333333333333,3.0,2.0,3.0,13.666666666666666,75.87498620765751,16.14366103939093,4.466401853690831,2023,1,2023-01-01
61.333333333333336,12.0,43.333333333333336,16.666666666666668,10.666666666666666,5.0,3.0,1.0,7.0,3.0,2.0,3.3333333333333335,15.333333333333334,70.48498037207715,14.910010240655401,4.066478921317631,2023,2,2023-04-01
60.0,11.666666666666666,41.333333333333336,17.0,9.666666666666666,4.666666666666667,2.6666666666666665,1.0,6.666666666666667,2.6666666666666665,2.0,3.0,15.0,71.27524340282962,14.6633112736561,4.092637375395996,2023,3,2023-07-01
61.333333333333336,10.333333333333334,42.0,15.333333333333334,9.0,4.0,2.0,1.0,7.0,2.0,2.0,3.0,13.333333333333334,83.21308450032804,15.755122268949208,3.7717363087568265,2023,4,2023-10-01
62.0,11.0,46.0,16.0,8.333333333333334,4.0,2.6666666666666665,1.0,7.0,2.0,2.0,2.3333333333333335,12.666666666666666,65.72777777777777,17.27857142857143,5.082010582010581,2024,1,2024-01-01
63.0,10.0,42.666666666666664,14.333333333333334,8.666666666666666,4.0,2.6666666666666665,1.0,7.0,2.0,2.0,2.6666666666666665,14.333333333333334,62.659259259259265,15.492063492063494,4.4751322751322755,2024,2,2024-04-01
60.0,10.666666666666666,40.666666666666664,14.0,8.0,4.0,2.3333333333333335,1.0,7.333333333333333,2.0,2.0,3.0,14.333333333333334,61.70643274853802,14.66096739022698,4.773862622658341,2024,3,2024-07-01
59.666666666666664,10.0,40.666666666666664,14.0,7.333333333333333,3.3333333333333335,2.0,1.0,6.333333333333333,1.6666666666666667,2.0,3.3333333333333335,12.333333333333334,67.45884142238015,14.315213733882473,4.091644458801045,2024,4,2024-10-01
62.0,10.666666666666666,44.666666666666664,14.666666666666666,7.0,4.0,2.6666666666666665,1.0,7.0,2.0,2.0,2.3333333333333335,12.0,56.19013425672802,15.755513030800072,5.138934451126906,2025,1,2025-01-01
63.0,10.666666666666666,45.0,14.0,6.333333333333333,4.0,2.0,1.0,7.333333333333333,2.0,2.0,2.0,13.666666666666666,54.78541666666666,15.75,4.452083333333333,2025,2,2025-04-01
68.66666666666667,11.666666666666666,49.333333333333336,14.0,7.0,4.333333333333333,2.6666666666666665,1.0,8.333333333333334,2.0,2.0,2.0,14.666666666666666,59.81156806156806,17.76779701779702,4.777176527176527,2025,3,2025-07-01
67.66666666666667,12.0,52.0,14.333333333333334,7.0,3.3333333333333335,2.0,1.0,8.666666666666666,1.3333333333333333,1.6666666666666667,2.6666666666666665,13.333333333333334,66.65005362679356,17.931339678419498,3.7215158356766893,2025,4,2025-10-01
