Lyft,DoorDash,Instacart,Grubhub,Fiverr,Upwork,side hustle,gig,Herbalife,Primerica,Tupperware,Avon,Etsy,Shopify,Udemy,year,quarter,date,Lyft_lag,DoorDash_lag,Instacart_lag,Grubhub_lag,Fiverr_lag,Upwork_lag,side hustle_lag,gig_lag,Herbalife_lag,Primerica_lag,Tupperware_lag,Avon_lag,Etsy_lag,Shopify_lag,Udemy_lag,quarter_lag
21.666666666666668,8.666666666666666,5.0,12.666666666666666,2.0,1.6666666666666667,0.0,6.333333333333333,6.0,2.0,3.0,17.333333333333332,44.29803032938864,8.24151697497134,3.090568865614253,2018,2,2018-04-01,21.333333333333332,6.333333333333333,5.333333333333333,11.666666666666666,2.0,2.0,0.0,6.333333333333333,5.333333333333333,2.0,3.0,16.0,44.84333333333333,8.215072463768115,3.423647342995169,1.0
23.333333333333332,12.333333333333334,5.666666666666667,13.333333333333334,2.0,1.3333333333333333,0.0,6.666666666666667,5.666666666666667,2.0,3.0,18.0,45.444589167480736,8.541951590144363,3.0752197981113643,2018,3,2018-07-01,21.666666666666668,8.666666666666666,5.0,12.666666666666666,2.0,1.6666666666666667,0.0,6.333333333333333,6.0,2.0,3.0,17.333333333333332,44.29803032938864,8.24151697497134,3.090568865614253,2.0
21.333333333333332,15.333333333333334,6.0,17.0,2.0,1.3333333333333333,0.0,6.0,4.0,1.6666666666666667,3.0,15.666666666666666,53.13361883963432,7.883687380054265,3.0849541960917777,2018,4,2018-10-01,23.333333333333332,12.333333333333334,5.666666666666667,13.333333333333334,2.0,1.3333333333333333,0.0,6.666666666666667,5.666666666666667,2.0,3.0,18.0,45.444589167480736,8.541951590144363,3.0752197981113643,3.0
25.0,23.333333333333332,7.0,19.666666666666668,2.3333333333333335,1.6666666666666667,0.3333333333333333,6.0,5.666666666666667,2.0,3.0,15.0,46.57595986880185,8.90423306965078,3.0822329410251466,2019,1,2019-01-01,21.333333333333332,15.333333333333334,6.0,17.0,2.0,1.3333333333333333,0.0,6.0,4.0,1.6666666666666667,3.0,15.666666666666666,53.13361883963432,7.883687380054265,3.0849541960917777,4.0
28.666666666666668,25.0,6.666666666666667,16.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,6.0,5.666666666666667,2.0,3.0,17.333333333333332,49.35905366111552,9.666501453872588,3.452722706846418,2019,2,2019-04-01,25.0,23.333333333333332,7.0,19.666666666666668,2.3333333333333335,1.6666666666666667,0.3333333333333333,6.0,5.666666666666667,2.0,3.0,15.0,46.57595986880185,8.90423306965078,3.0822329410251466,1.0
21.0,24.666666666666668,7.0,14.333333333333334,2.6666666666666665,2.0,0.6666666666666666,6.666666666666667,5.0,2.0,3.0,17.333333333333332,46.93273626567744,9.93467585232291,3.083105458399576,2019,3,2019-07-01,28.666666666666668,25.0,6.666666666666667,16.0,2.3333333333333335,1.6666666666666667,0.6666666666666666,6.0,5.666666666666667,2.0,3.0,17.333333333333332,49.35905366111552,9.666501453872588,3.452722706846418,2.0
19.333333333333332,25.333333333333332,7.333333333333333,15.666666666666666,2.3333333333333335,1.6666666666666667,0.3333333333333333,6.0,4.0,2.0,3.0,15.0,54.34298835492865,9.903963697993548,3.0742660324749878,2019,4,2019-10-01,21.0,24.666666666666668,7.0,14.333333333333334,2.6666666666666665,2.0,0.6666666666666666,6.666666666666667,5.0,2.0,3.0,17.333333333333332,46.93273626567744,9.93467585232291,3.083105458399576,3.0
18.666666666666668,28.666666666666668,18.666666666666668,18.333333333333332,3.0,2.0,0.6666666666666666,6.333333333333333,5.0,2.0,2.6666666666666665,14.666666666666666,45.81163008830284,10.602253603389562,4.103196523323038,2020,1,2020-01-01,19.333333333333332,25.333333333333332,7.333333333333333,15.666666666666666,2.3333333333333335,1.6666666666666667,0.3333333333333333,6.0,4.0,2.0,3.0,15.0,54.34298835492865,9.903963697993548,3.0742660324749878,4.0
9.333333333333334,40.666666666666664,37.666666666666664,23.666666666666668,3.6666666666666665,2.0,0.3333333333333333,7.333333333333333,6.666666666666667,2.0,3.6666666666666665,16.0,81.12323232323232,15.67962962962963,4.771885521885522,2020,2,2020-04-01,18.666666666666668,28.666666666666668,18.666666666666668,18.333333333333332,3.0,2.0,0.6666666666666666,6.333333333333333,5.0,2.0,2.6666666666666665,14.666666666666666,45.81163008830284,10.602253603389562,4.103196523323038,1.0
10.0,40.0,16.0,18.0,4.0,2.0,1.0,6.333333333333333,6.0,2.0,3.3333333333333335,16.666666666666668,82.48842760768032,16.01988890810894,4.090518749159123,2020,3,2020-07-01,9.333333333333334,40.666666666666664,37.666666666666664,23.666666666666668,3.6666666666666665,2.0,0.3333333333333333,7.333333333333333,6.666666666666667,2.0,3.6666666666666665,16.0,81.12323232323232,15.67962962962963,4.771885521885522,2.0
